Trade #,Type,Date/Time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USDT,Cumulative P&L %
96,Entry long,2024-06-25 08:00,Sweep,60244.4,2.5411,153087.0448,1963.86,1.28,5529.38,3.61,-639.14,-0.42,150127.2,3002.54
97,Exit long,2024-07-04 08:00,Stop Loss (HYBRID),58811.8,2.569021,155049.152,-4113.47,-2.65,834.99,0.54,-4037.93,-2.60,146013.73,2920.27
97,Entry long,2024-07-03 20:00,Sweep,60353.4,2.569021,155049.152,-4113.47,-2.65,834.99,0.54,-4037.93,-2.60,146013.73,2920.27
98,Exit long,2024-07-17 20:00,Hedge (BE),64705.8,2.410111,150938.2626,4856.45,3.22,8312.44,5.50,-891.05,-0.59,150870.19,3017.40
98,Entry long,2024-07-15 12:00,Breakout,62627.1,2.410111,150938.2626,4856.45,3.22,8312.44,5.50,-891.05,-0.59,150870.19,3017.40
99,Exit long,2024-07-23 12:00,Stop Loss (HYBRID),66463.2,2.28601,155792.2673,-4010.59,-2.57,666.2,0.43,-3934.62,-2.52,146859.6,2937.19
99,Entry long,2024-07-22 08:00,Breakout,68150.3,2.28601,155792.2673,-4010.59,-2.57,666.2,0.43,-3934.62,-2.52,146859.6,2937.19
100,Exit long,2024-08-03 04:00,Stop Loss (HYBRID),61576.5,2.394442,151764.2834,-4472.53,-2.95,5303.71,3.49,-4398.81,-2.90,142387.06,2847.74
100,Entry long,2024-08-02 04:00,Sweep,63381.9,2.394442,151764.2834,-4472.53,-2.95,5303.71,3.49,-4398.81,-2.90,142387.06,2847.74
101,Exit long,2024-08-27 20:00,Stop Loss (HYBRID),61944.9,2.316197,147315.2248,-3984.03,-2.70,3307.06,2.24,-3912.29,-2.65,138403.05,2768.06
101,Entry long,2024-08-24 04:00,Breakout,63602.2,2.316197,147315.2248,-3984.03,-2.70,3307.06,2.24,-3912.29,-2.65,138403.05,2768.06
102,Exit long,2024-09-04 08:00,Stop Loss (HYBRID),56536,2.463271,143330.8423,-4208.65,-2.93,3923.02,2.74,-4139.02,-2.89,134194.39,2683.89
102,Entry long,2024-09-02 00:00,Sweep,58187.2,2.463271,143330.8423,-4208.65,-2.93,3923.02,2.74,-4139.02,-2.89,134194.39,2683.89
103,Exit long,2024-09-14 20:00,TP EMA-Strong (366),59690.3,2.43766,139124.3254,6238.02,4.48,8600.71,6.18,-3826.73,-2.75,140432.4,2808.65
103,Entry long,2024-09-10 04:00,Breakout,57072.9,2.43766,139124.3254,6238.02,4.48,8600.71,6.18,-3826.73,-2.75,140432.4,2808.65
104,Exit long,2024-09-24 08:00,Hedge (BE),62846.9,2.354213,145359.4692,2448.86,1.68,7027.86,4.83,-524.92,-0.36,142881.27,2857.63
104,Entry long,2024-09-19 08:00,Breakout,61744.4,2.354213,145359.4692,2448.86,1.68,7027.86,4.83,-524.92,-0.36,142881.27,2857.63
105,Exit long,2024-10-08 04:00,Hedge (BE),62237.7,2.45623,147789.1485,4930.63,3.33,10440.98,7.06,-904.35,-0.61,147811.89,2956.24
105,Entry long,2024-10-03 04:00,Sweep,60169.1,2.45623,147789.1485,4930.63,3.33,10440.98,7.06,-904.35,-0.61,147811.89,2956.24
106,Exit long,2024-12-20 04:00,TP EMA-Mid (160),97178.8,2.454576,152735.5007,85601.62,56.02,113204.28,74.08,-557.96,-0.37,233413.52,4668.27
106,Entry long,2024-10-12 00:00,Breakout,62224.8,2.454576,152735.5007,85601.62,56.02,113204.28,74.08,-557.96,-0.37,233413.52,4668.27
