"Open P&L","Open P&L %","Net profit: All","Net profit %: All","Net profit: Long","Net profit %: Long","Net profit: Short","Net profit %: Short","Gross profit: All","Gross profit %: All","Gross profit: Long","Gross profit %: Long","Gross profit: Short","Gross profit %: Short","Gross loss: All","Gross loss %: All","Gross loss: Long","Gross loss %: Long","Gross loss: Short","Gross loss %: Short","Commission paid: All","Commission paid: Long","Commission paid: Short","Buy & hold return","Buy & hold return %","Max equity run-up","Max equity run-up %","Max equity drawdown","Max equity drawdown %","Max contracts held: All","Max contracts held: Long","Max contracts held: Short","Total trades: All","Total trades: Long","Total trades: Short","Total open trades: All","Total open trades: Long","Total open trades: Short","Winning trades: All","Winning trades: Long","Winning trades: Short","Losing trades: All","Losing trades: Long","Losing trades: Short","Percent profitable: All","Percent profitable: Long","Percent profitable: Short","Avg P&L: All","Avg P&L %: All","Avg P&L: Long","Avg P&L %: Long","Avg P&L: Short","Avg winning trade: All","Avg winning trade %: All","Avg winning trade: Long","Avg winning trade %: Long","Avg winning trade: Short","Avg losing trade: All","Avg losing trade %: All","Avg losing trade: Long","Avg losing trade %: Long","Avg losing trade: Short","Ratio avg win / avg loss: All","Ratio avg win / avg loss: Long","Ratio avg win / avg loss: Short","Largest winning trade: All","Largest winning trade: Long","Largest winning trade: Short","Largest winning trade percent: All","Largest winning trade percent: Long","Largest winning trade percent: Short","Largest losing trade: All","Largest losing trade: Long","Largest losing trade: Short","Largest losing trade percent: All","Largest losing trade percent: Long","Largest losing trade percent: Short","Avg # bars in trades: All","Avg # bars in trades: Long","Avg # bars in trades: Short","Avg # bars in winning trades: All","Avg # bars in winning trades: Long","Avg # bars in winning trades: Short","Avg # bars in losing trades: All","Avg # bars in losing trades: Long","Avg # bars in losing trades: Short","Sharpe ratio","Sortino ratio","Profit factor: All","Profit factor: Long","Profit factor: Short","Margin calls: All","Margin calls: Long","Margin calls: Short","__Equal High/Low scan window (bars)","__Show as line segments (default: dots)","__⚠ (Deprecated) Fixed Stop-Loss % (unused in HYBRID)","__ATR length (for SL / 1R)","__ATR × m for ATR-SL","__Structure margin: k × ATR beyond ref","__Breakeven offset % when 1R reached (fee buffer)","__Fixed EMA length","__Min bars to hold after 1R (avoid same-bar exit)","__Cooldown bars after exit (no re-entry during period)","__Enable RSI-adapted EMA (longs)","__Weak momentum → short EMA","__Mid momentum → mid EMA","__Strong momentum → long EMA","__RSI length","__RSI mid threshold (≥ is mid)","__RSI strong threshold (≥ is strong)","__Enable breakout long","__Breakout window (Donchian high)","__ATR length (breakout buffer)","__Breakout buffer ATR multiple","__Require close above default EMA","__Enable Breakout score filter (allow A/B only)","__Volume MA length","__Volume threshold: current > MA ×","__Body/ATR threshold (≥ scores +1)","__Close above threshold (in ATR)","__Upper wick/ATR penalty threshold (> scores −1)","__Min headroom to last swing high (ATR ×)","__Headroom penalty weight (if too close)","__EMA slope / ATR min (ε) for bonus","__Slope bonus weight (if slope ≥ ε)","__Pivot length for last swing high","__Grade A min (≥)","__Grade B min (≥)","__Hide signals while in position (plotshape)","__Suppress alerts while in position (alert)","__Label EMA used at TP bar","__Entry-bar label: grade + breakdown","__Show BE armed icon (diamond)","__Show BE price label","__Show BE horizontal line (extendable)","__BE line extend bars to right","__Trend: EMA length (trend/anti-trend + slope)","__Bonus after reclaim: break above last confirmed structure high (BOS)","__ATR length (normalize momentum/room)","__Reclaim bar body ≥ ATR × threshold → +1","__Location quality: reference EMA length","__Headroom: if distance to last swing high < ATR × threshold → −1","__Multi-sweep count lookback","__Multi-sweep bonus threshold","__Inputs in status line","_setTime_","_parseTime_","comment"
0,0,3192138.8,319213.88,3192138.8,319213.88,4e-8,0,3986734.13,398673.41,3986734.13,398673.41,0,0,794595.33,79459.53,794595.33,79459.53,-4e-8,0,85086.83,85086.83,-4e-8,3409.03,340.9,4518377.51,99.98,274402.67,52.06,2080,2080,0,74,74,0,0,0,0,39,39,0,35,35,0,52.7,52.7,"∅",43137.01,5.49,43137.01,5.49,"∅",102223.95,13.67,102223.95,13.67,"∅",22702.72,3.63,22702.72,3.63,"∅",4.503,4.503,"∅",1232165.95,1232165.95,"∅",75.78,75.78,"∅",224966.04,224966.04,"∅",9.32,9.32,"∅",49,49,0,84,84,0,10,10,0,0.452,2.965,5.017,5.017,0,7,7,0,24,0,4,28,1.8,0.125,0.125,134,2,1,true,35,75,302,15,15,36,true,21,26,0.8,true,true,10,1.4,0.8,0.3,0.7,0.75,2,0.015,1,5,1,1,true,0,true,true,true,true,true,200,124,true,6,1.6,190,1,20,1,true,0.3,1.9,"Changed ""Trend: EMA length (trend/anti-trend + slope)"": 80 => 124."
0,0,4393079.38,439307.94,4393079.38,439307.94,-2e-8,0,5458382.37,545838.24,5458382.37,545838.24,0,0,1065302.99,106530.3,1065302.99,106530.3,2e-8,0,109932.54,109932.54,2e-8,3409.97,341,6218116.36,99.98,376101.54,50.57,2862,2862,0,66,66,0,0,0,0,38,38,0,28,28,0,57.58,57.58,"∅",66561.81,6.5,66561.81,6.5,"∅",143641.64,14.01,143641.64,14.01,"∅",38046.54,3.69,38046.54,3.69,"∅",3.775,3.775,"∅",1695584.01,1695584.01,"∅",75.78,75.78,"∅",308071.78,308071.78,"∅",7.2,7.2,"∅",53,53,0,85,85,0,10,10,0,0.464,2.989,5.124,5.124,0,5,5,0,24,0,4,28,1.8,0.125,0.125,134,1,1,true,35,75,302,15,15,36,true,21,26,0.8,true,true,10,1.4,0.8,0.3,0.7,0.75,2,0.015,1,5,1,1,true,0,true,true,true,true,true,200,80,true,6,1.6,190,1,20,1,true,0.3,5.2,"Changed ""Min bars to hold after 1R (avoid same-bar exit)"": 2 => 1."
0,0,4393079.38,439307.94,4393079.38,439307.94,-2e-8,0,5458382.37,545838.24,5458382.37,545838.24,0,0,1065302.99,106530.3,1065302.99,106530.3,2e-8,0,109932.54,109932.54,2e-8,3409.92,340.99,6218116.36,99.98,376101.54,50.57,2862,2862,0,66,66,0,0,0,0,38,38,0,28,28,0,57.58,57.58,"∅",66561.81,6.5,66561.81,6.5,"∅",143641.64,14.01,143641.64,14.01,"∅",38046.54,3.69,38046.54,3.69,"∅",3.775,3.775,"∅",1695584.01,1695584.01,"∅",75.78,75.78,"∅",308071.78,308071.78,"∅",7.2,7.2,"∅",53,53,0,85,85,0,10,10,0,0.464,2.989,5.124,5.124,0,5,5,0,24,0,4,28,1.8,0.125,0.125,134,2,1,true,35,75,302,15,15,36,true,21,26,0.8,true,true,10,1.4,0.8,0.3,0.7,1.375,2,0.015,1,5,1,1,true,0,true,true,true,true,true,200,80,true,6,1.6,190,1,20,1,true,0.3,2.2,"Changed ""Min headroom to last swing high (ATR ×)"": 0.75 => 1.375."
0,0,4393079.38,439307.94,4393079.38,439307.94,-2e-8,0,5458382.37,545838.24,5458382.37,545838.24,0,0,1065302.99,106530.3,1065302.99,106530.3,2e-8,0,109932.54,109932.54,2e-8,3410.59,341.06,6218116.36,99.98,376101.54,50.57,2862,2862,0,66,66,0,0,0,0,38,38,0,28,28,0,57.58,57.58,"∅",66561.81,6.5,66561.81,6.5,"∅",143641.64,14.01,143641.64,14.01,"∅",38046.54,3.69,38046.54,3.69,"∅",3.775,3.775,"∅",1695584.01,1695584.01,"∅",75.78,75.78,"∅",308071.78,308071.78,"∅",7.2,7.2,"∅",53,53,0,85,85,0,10,10,0,0.464,2.989,5.124,5.124,0,5,5,0,24,0,4,28,1.8,0.125,0.125,134,2,1,true,35,75,302,15,15,36,true,21,26,0.8,true,true,10,1.4,0.8,0.3,0.7,0.75,2,0.015,0,5,1,1,true,0,true,true,true,true,true,200,80,true,6,1.6,190,1,20,1,true,0.3,1.9,"Changed ""Slope bonus weight (if slope ≥ ε)"": 1 => 0."
0,0,4395151.41,439515.14,4395151.41,439515.14,4e-8,0,5461506.54,546150.65,5461506.54,546150.65,0,0,1066355.13,106635.51,1066355.13,106635.51,-4e-8,0,110135.61,110135.61,-4e-8,3411.12,341.11,6221048.96,99.98,376336.73,55.84,2863,2863,0,64,64,0,0,0,0,36,36,0,28,28,0,56.25,56.25,"∅",68674.24,6.69,68674.24,6.69,"∅",151708.52,14.69,151708.52,14.69,"∅",38084.11,3.6,38084.11,3.6,"∅",3.984,3.984,"∅",1696383.57,1696383.57,"∅",75.78,75.78,"∅",308274.88,308274.88,"∅",7.2,7.2,"∅",56,56,0,92,92,0,11,11,0,0.465,2.991,5.122,5.122,0,5,5,0,24,0,4,28,1.8,0.125,0.125,134,2,1,true,35,81,302,15,15,36,true,21,26,0.8,true,true,10,1.4,0.8,0.3,0.7,0.75,2,0.015,1,5,1,1,true,0,true,true,true,true,true,200,80,true,6,1.6,190,1,20,1,true,0.3,2,"Changed ""Mid momentum → mid EMA"": 75 => 81."
0,0,2442178.81,244217.88,2442178.81,244217.88,-1e-8,0,3042083.76,304208.38,3042083.76,304208.38,0,0,599904.95,59990.49,599904.95,59990.49,1e-8,0,64978.11,64978.11,1e-8,3412.41,341.24,3456929.35,99.97,208604.45,55.22,1591,1591,0,66,66,0,0,0,0,38,38,0,28,28,0,57.58,57.58,"∅",37002.71,6.06,37002.71,6.06,"∅",80054.84,13.13,80054.84,13.13,"∅",21425.18,3.52,21425.18,3.52,"∅",3.736,3.736,"∅",942771.99,942771.99,"∅",75.78,75.78,"∅",170778.8,170778.8,"∅",7.2,7.2,"∅",52,52,0,82,82,0,11,11,0,0.439,2.854,5.071,5.071,0,5,5,0,24,0,4,28,1.8,0.125,0.125,134,2,1,true,35,81,302,15,15,36,true,25,26,0.8,true,true,10,1.4,0.8,0.3,0.7,0.75,2,0.015,1,5,1,1,true,0,true,true,true,true,true,200,80,true,6,1.6,190,1,20,1,true,0.2,2.1,"Changed ""Breakout window (Donchian high)"": 21 => 25."
0,0,4395151.41,439515.14,4395151.41,439515.14,4e-8,0,5461506.54,546150.65,5461506.54,546150.65,0,0,1066355.13,106635.51,1066355.13,106635.51,-4e-8,0,110135.61,110135.61,-4e-8,3411.39,341.14,6221048.96,99.98,376336.73,55.84,2863,2863,0,64,64,0,0,0,0,36,36,0,28,28,0,56.25,56.25,"∅",68674.24,6.69,68674.24,6.69,"∅",151708.52,14.69,151708.52,14.69,"∅",38084.11,3.6,38084.11,3.6,"∅",3.984,3.984,"∅",1696383.57,1696383.57,"∅",75.78,75.78,"∅",308274.88,308274.88,"∅",7.2,7.2,"∅",56,56,0,92,92,0,11,11,0,0.465,2.991,5.122,5.122,0,5,5,0,24,0,4,28,1.8,0.125,0.125,134,2,1,true,35,81,302,15,15,36,true,21,26,0.8,true,true,10,1.4,0.8,0.3,0.7,0.75,2,0.015,1,5,1,1,true,0,true,true,true,true,true,200,80,true,6,1.6,190,0,20,1,true,0.3,1.9,"Changed ""Headroom: if distance to last swing high < ATR × threshold → −1"": 1 => 0."
0,0,4395151.41,439515.14,4395151.41,439515.14,4e-8,0,5461506.54,546150.65,5461506.54,546150.65,0,0,1066355.13,106635.51,1066355.13,106635.51,-4e-8,0,110135.61,110135.61,-4e-8,3411.98,341.2,6221048.96,99.98,376336.73,55.84,2863,2863,0,64,64,0,0,0,0,36,36,0,28,28,0,56.25,56.25,"∅",68674.24,6.69,68674.24,6.69,"∅",151708.52,14.69,151708.52,14.69,"∅",38084.11,3.6,38084.11,3.6,"∅",3.984,3.984,"∅",1696383.57,1696383.57,"∅",75.78,75.78,"∅",308274.88,308274.88,"∅",7.2,7.2,"∅",56,56,0,92,92,0,11,11,0,0.465,2.991,5.122,5.122,0,5,5,0,24,0,4,28,1.8,0.125,0.125,134,2,1,true,35,81,302,15,15,36,true,21,26,0.8,true,true,10,1.4,0.8,0.3,0.7,0.375,2,0.015,1,5,1,1,true,0,true,true,true,true,true,200,80,true,6,1.6,190,1,20,1,true,0.3,2,"Changed ""Min headroom to last swing high (ATR ×)"": 0.75 => 0.375."
0,0,4395151.41,439515.14,4395151.41,439515.14,4e-8,0,5461506.54,546150.65,5461506.54,546150.65,0,0,1066355.13,106635.51,1066355.13,106635.51,-4e-8,0,110135.61,110135.61,-4e-8,3412.33,341.23,6221048.96,99.98,376336.73,55.84,2863,2863,0,64,64,0,0,0,0,36,36,0,28,28,0,56.25,56.25,"∅",68674.24,6.69,68674.24,6.69,"∅",151708.52,14.69,151708.52,14.69,"∅",38084.11,3.6,38084.11,3.6,"∅",3.984,3.984,"∅",1696383.57,1696383.57,"∅",75.78,75.78,"∅",308274.88,308274.88,"∅",7.2,7.2,"∅",56,56,0,92,92,0,11,11,0,0.465,2.991,5.122,5.122,0,5,5,0,24,0,4,28,1.8,0.125,0.125,134,2,1,true,35,81,302,15,15,36,true,21,33,0.8,true,true,10,1.4,0.8,0.3,0.7,0.75,2,0.015,1,5,1,1,true,0,true,true,true,true,true,200,80,true,6,1.6,190,1,20,1,true,0.3,2.2,"Changed ""ATR length (breakout buffer)"": 26 => 33."
0,0,4395151.41,439515.14,4395151.41,439515.14,4e-8,0,5461506.54,546150.65,5461506.54,546150.65,0,0,1066355.13,106635.51,1066355.13,106635.51,-4e-8,0,110135.61,110135.61,-4e-8,3411.77,341.18,6221048.96,99.98,376336.73,55.84,2863,2863,0,64,64,0,0,0,0,36,36,0,28,28,0,56.25,56.25,"∅",68674.24,6.69,68674.24,6.69,"∅",151708.52,14.69,151708.52,14.69,"∅",38084.11,3.6,38084.11,3.6,"∅",3.984,3.984,"∅",1696383.57,1696383.57,"∅",75.78,75.78,"∅",308274.88,308274.88,"∅",7.2,7.2,"∅",56,56,0,92,92,0,11,11,0,0.465,2.991,5.122,5.122,0,5,5,0,24,0,4,28,1.8,0.125,0.125,134,2,1,true,35,81,302,15,15,36,true,21,26,0.8,true,true,10,1.4,0.8,0.3,0.7,0.75,2,0.03,1,5,1,1,true,0,true,true,true,true,true,200,80,true,6,1.6,190,1,20,1,true,0.3,2.1,"Changed ""EMA slope / ATR min (ε) for bonus"": 0.015 => 0.03."
